from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5975375;459;32164;133;84;32340;128;111;32692;150;119;32692;62;32260;55;32297;33
5785641;5975375;422;29547;132;83;29736;135;114;32897;156;117;32897;64;32471;57;32508;33
5785642;5975375;423;29626;132;83;29736;139;116;33015;156;119;33015;64;31872;57;30133;33
5785643;5975375;427;29919;141;89;31796;150;120;33308;156;123;33308;64;34429;57;32690;33
5787544;5975375;452;31674;130;82;31801;126;104;32202;138;112;32202;61;31834;54;31872;32
5787545;5975375;453;31743;130;82;31801;126;105;32271;138;113;32271;61;32121;54;32158;32
5787546;5975375;457;31969;130;82;31801;128;109;32497;150;117;32497;64;30898;57;29159;33
5787547;5975375;420;29433;132;83;29736;144;121;33396;155;124;33396;64;31290;57;29551;33
5787548;5975375;417;29208;132;83;29736;140;117;33124;152;120;33124;64;31411;57;29672;33
5787549;5975375;419;29342;132;83;29736;144;122;33416;154;125;33416;64;31654;57;29915;33
5787550;5975375;456;31924;141;89;31796;154;110;43711;164;121;43524;64;34228;57;32489;33
5789447;5975375;413;28907;121;76;29039;88;65;29435;102;73;29435;57;29644;51;29682;29
5789448;5975375;413;28904;121;76;29036;88;65;29456;102;73;29456;57;30009;51;30047;29
5789449;5975375;414;28965;121;77;29172;88;66;29516;102;74;29516;58;30435;52;30473;30
5789450;5975375;456;31910;121;77;29172;128;108;32438;150;116;32438;58;30754;52;30791;30
5789451;5975375;456;31949;130;82;31801;128;108;32477;150;116;32477;61;32081;54;32119;32
5789452;5975375;412;28869;130;82;31801;140;116;29990;145;119;29990;63;30798;56;29059;32
5789453;5975375;413;28906;132;83;29736;140;116;30027;145;119;30027;64;30975;57;29236;33
5789454;5975375;414;28992;132;83;29736;140;117;30114;147;124;34148;63;31238;57;29499;32
5789455;5975375;417;29169;141;89;31829;145;120;30290;152;123;30290;64;31459;57;29720;33
5789456;5975375;454;31764;141;89;31829;146;107;43550;164;119;43363;70;34138;62;32399;39
5791353;5975375;418;29267;119;75;29345;90;70;29795;108;78;29795;56;29235;50;29272;29
5791354;5975375;415;29035;120;76;28881;88;67;29563;108;75;29563;58;29826;52;29863;30
5791355;5975375;408;28558;120;76;28794;82;62;29224;102;70;29224;57;30007;51;30044;29
5791356;5975375;409;28620;120;76;28742;88;67;29572;108;75;29572;58;30632;52;30669;30
5791357;5975375;410;28707;121;77;29172;90;69;29640;108;77;29640;58;30746;52;30783;30
5791358;5975375;411;28758;121;77;29172;136;114;29879;142;117;29879;58;30292;52;28553;30
5791359;5975375;408;28560;121;77;29172;130;111;29682;134;118;33715;63;30615;56;28876;32
5791360;5975375;409;28614;132;83;29736;133;112;29736;137;115;29736;63;30984;56;29245;32
5791361;5975375;414;28968;141;89;31829;140;117;30089;145;120;30089;63;31338;56;29599;32
5791362;5975375;418;29279;141;89;31829;145;122;30400;154;125;30400;64;31646;57;29907;33
5791363;5975375;454;31759;141;89;31829;146;107;43545;164;119;43358;70;34034;62;32295;39
5793258;5975375;424;29653;123;78;29839;100;75;30181;114;83;30181;58;30499;52;30537;30
5793259;5975375;419;29352;123;78;29783;94;71;29881;108;79;29881;58;30339;52;30377;30
5793260;5975375;420;29387;122;77;29369;94;72;29915;108;80;29915;58;30303;52;30340;30
5793261;5975375;406;28430;119;75;28529;88;65;29360;102;73;29360;58;30084;52;30121;30
5793262;5975375;405;28326;119;76;28571;88;65;29358;102;73;29358;58;30509;52;30546;30
5793263;5975375;405;28374;119;76;28571;95;70;28941;108;78;28941;58;31615;52;31652;30
5793264;5975375;404;28305;118;75;28283;130;108;29426;130;114;33460;63;30236;56;28497;32
5793265;5975375;405;28345;118;75;28221;130;108;29467;132;115;33500;63;30569;56;28830;32
5793266;5975375;405;28354;124;78;28266;130;108;29476;132;115;33509;63;30766;56;29027;32
5793267;5975375;416;29129;124;78;28266;144;119;30250;150;122;30250;63;31561;56;29822;32
5793268;5975375;422;29526;141;89;31829;154;133;30648;156;128;30648;64;31787;57;30048;33
5793269;5975375;452;31624;138;87;31349;162;117;44226;164;128;44040;69;30599;62;28861;38
5793270;5975375;449;31444;138;87;31349;155;114;44046;164;126;43859;69;33488;62;31749;38
5795164;5975375;425;29728;123;78;29783;101;76;30256;114;84;30256;58;30623;52;30660;30
5795165;5975375;426;29809;123;78;29783;102;78;30337;114;86;30337;58;32399;52;32437;30
5795166;5975375;425;29739;118;75;28259;101;77;30267;114;85;30267;61;32249;55;32286;32
5795167;5975375;402;28105;119;75;28496;88;66;28658;108;74;28658;58;30634;52;30672;30
5795168;5975375;402;28106;118;75;28283;88;66;28659;108;74;28659;60;31196;53;31234;31
5795169;5975375;403;28187;118;75;28283;88;68;28754;108;76;28754;60;31418;53;31456;31
5795170;5975375;401;28035;118;75;28221;130;104;29156;128;111;33190;60;29975;53;28236;31
5795171;5975375;399;27954;118;75;28124;130;103;29075;128;109;33109;63;30276;56;28537;32
5795172;5975375;404;28288;124;78;28266;130;107;29410;130;114;33444;63;30718;56;28980;32
5795173;5975375;407;28517;124;78;28266;130;111;29638;132;118;33672;63;30809;56;29070;32
5795174;5975375;405;28327;124;78;28266;130;108;29448;130;115;33482;63;30443;56;28704;32
5795175;5975375;404;28264;124;78;28266;130;107;29385;130;114;33419;63;30580;56;28841;32
5795176;5975375;450;31480;121;77;28077;155;115;44082;164;126;43896;64;30104;57;28365;33
5797069;5975375;410;28686;116;74;28653;119;81;27707;124;109;29134;-1;-1;-1;-1;-1
5797070;5975375;428;29926;116;74;28653;102;79;30454;114;87;30454;59;30902;53;30939;31
5797071;5975375;429;30043;118;75;28259;102;81;30571;114;89;30571;62;32302;55;32339;32
5797072;5975375;403;28196;118;75;28259;88;68;28750;108;76;28750;61;32018;54;32056;32
5797073;5975375;399;27912;118;75;28259;88;63;28465;102;71;28465;59;32103;53;32140;30
5797074;5975375;397;27794;117;74;28014;82;62;28360;102;70;28360;59;30967;53;31005;30
5797075;5975375;400;28002;118;75;28221;88;65;28569;102;73;28569;60;31300;53;31337;31
5797076;5975375;396;27718;118;75;28124;125;99;28840;126;106;32873;61;29922;54;28183;32
5797077;5975375;398;27845;118;75;28124;125;101;28966;127;108;33000;63;30354;56;28615;32
5797078;5975375;403;28178;124;78;28266;130;106;29300;128;113;33334;63;30892;56;29153;32
5797079;5975375;401;28086;124;78;28266;130;105;29207;128;111;33241;63;30728;56;28989;32
5797080;5975375;402;28130;124;78;28266;130;105;29252;128;112;33285;63;29939;56;28200;32
5797081;5975375;402;28116;124;78;28266;130;105;29238;128;112;33272;63;30559;56;28820;32
5797082;5975375;399;27910;121;77;28077;133;113;43946;139;124;43759;64;30091;57;28352;33
5798974;5975375;390;27313;112;71;27222;106;61;26334;106;89;27762;52;27045;47;27083;26
5798975;5975375;433;30286;125;79;30475;106;84;30814;126;92;30814;59;31249;53;31286;31
5798976;5975375;433;30281;125;79;30475;106;84;30809;126;92;30809;59;31136;53;31174;31
5798977;5975375;433;30288;118;75;28259;106;84;30816;126;92;30816;61;32342;54;32379;32
5798978;5975375;396;27726;116;74;27683;88;65;28288;102;73;28288;61;31813;54;31850;32
5798979;5975375;394;27550;116;73;27572;85;62;28111;102;70;28111;61;32171;55;32208;32
5798980;5975375;394;27550;116;74;27691;85;62;28112;102;70;28112;60;31331;53;31368;31
5798981;5975375;397;27821;117;74;27991;88;66;28383;108;74;28383;61;31719;54;31756;32
5798982;5975375;394;27550;118;75;28124;120;97;28672;122;105;28672;61;29783;54;28044;32
5798983;5975375;392;27425;118;75;28124;120;95;28546;120;102;32580;62;29723;55;27984;31
5798984;5975375;392;27418;121;76;27533;118;95;28539;120;102;32573;62;29714;55;27975;31
5798985;5975375;397;27782;121;76;27533;125;100;28904;126;107;32938;62;29606;55;27867;31
5798986;5975375;395;27645;124;78;28266;120;98;28766;125;105;32800;62;29872;55;28133;31
5798987;5975375;399;27900;124;78;28266;125;102;29022;128;109;33056;63;30332;56;28593;32
5798988;5975375;393;27494;119;75;27543;128;114;44011;135;120;27428;63;29566;56;27827;32
5800879;5975375;383;26817;110;70;26885;90;62;25838;97;82;27265;53;26766;47;26803;26
5800880;5975375;387;27096;112;71;27218;96;66;26117;102;86;27544;52;27041;47;27079;26
5800881;5975375;436;30491;112;71;27218;108;87;31019;126;95;31019;59;26669;53;26707;31
5800882;5975375;395;27638;125;79;30475;102;84;29058;119;92;29058;63;33844;56;33881;32
5800883;5975375;395;27674;117;74;28005;107;84;29094;125;92;29094;63;33621;56;33658;32
5800884;5975375;394;27595;116;74;27682;88;63;28181;102;71;28181;60;31629;54;31667;31
5800885;5975375;390;27331;116;74;27670;80;60;27954;102;68;27954;60;31332;53;31370;31
5800886;5975375;388;27183;116;74;27668;82;62;28097;102;70;28097;60;31623;53;31660;31
5800887;5975375;390;27304;117;74;27991;88;66;28371;102;74;28371;60;31707;53;31745;31
5800888;5975375;382;26761;117;74;26781;109;86;27883;113;92;31916;61;28899;54;27160;31
5800889;5975375;388;27165;117;74;26781;116;91;28287;116;98;32320;62;29488;55;27749;31
5800890;5975375;389;27241;117;74;26904;116;92;28362;118;99;32396;62;29400;55;27661;31
5800891;5975375;392;27452;120;76;27477;120;95;28574;122;103;28574;62;29277;55;27538;31
5800892;5975375;391;27389;121;76;27533;118;95;28510;118;101;32544;62;29751;55;28012;31
5800893;5975375;394;27550;121;76;27533;120;97;28672;122;105;28672;62;30292;55;28553;31
5800894;5975375;391;27404;119;75;27543;126;113;28170;127;119;27337;63;29572;56;27834;32
5800895;5975375;388;27164;118;75;27374;124;110;27931;126;116;27097;62;29473;56;27734;32
5802783;5975375;382;26719;110;69;26635;86;61;25740;96;81;27167;53;26763;47;26801;26
5802784;5975375;380;26600;110;69;26635;82;59;25620;96;79;27048;53;26734;47;26771;26
5802785;5975375;384;26878;111;71;27206;92;63;25899;97;83;27326;53;26240;47;26277;26
5802786;5975375;397;27775;112;71;27218;109;86;29195;125;94;29195;63;26422;56;26459;32
5802787;5975375;393;27538;112;71;27218;102;82;28958;119;90;28958;63;33655;56;33692;32
5802788;5975375;391;27340;118;74;28014;102;79;28760;114;87;28760;62;33408;56;33445;32
5802789;5975375;391;27341;118;74;28014;102;79;28760;114;87;28760;61;31870;54;31908;32
5802790;5975375;392;27409;118;75;28065;88;63;28203;102;71;28203;61;31393;54;31430;32
5802791;5975375;384;26911;114;72;27093;85;62;27561;102;70;27561;60;31666;54;31703;31
5802792;5975375;388;27147;114;72;27093;88;66;27797;102;74;27797;61;31969;54;32006;31
5802793;5975375;379;26533;117;74;26781;102;82;27655;109;89;31688;61;28840;54;27101;31
5802794;5975375;384;26869;117;74;26781;109;87;27990;115;94;32024;61;29125;55;27386;31
5802795;5975375;384;26869;117;74;26904;109;87;27991;115;94;32024;62;29126;55;27387;31
5802796;5975375;385;26983;120;76;27464;109;89;28104;115;96;32138;61;29322;55;27583;31
5802797;5975375;391;27344;121;76;27519;116;94;28466;118;101;32499;62;29643;55;27904;31
5802798;5975375;393;27519;119;75;27191;120;96;28640;122;104;28640;62;29385;55;27646;31
5802799;5975375;384;26847;116;74;26955;119;105;27614;121;111;26780;61;28886;55;27147;31
5802800;5975375;382;26768;117;74;27054;119;104;27534;118;110;26701;62;29054;55;27315;32
5802801;5975375;388;27136;118;74;27223;124;110;27903;126;115;27069;62;29413;55;27674;32
5804689;5975375;379;26553;111;70;26541;78;58;25574;89;70;26404;54;26454;48;26492;27
5804690;5975375;377;26382;109;69;26315;78;56;25403;92;76;26830;53;26446;47;26483;26
5804691;5975375;380;26583;114;72;26526;90;63;25928;96;81;25728;51;26430;46;26467;25
5804692;5975375;382;26775;116;74;26616;96;66;26120;97;84;25921;53;26869;48;26906;27
5804693;5975375;393;27539;116;74;26616;102;82;28959;119;90;28959;62;33719;55;33756;32
5804694;5975375;387;27100;118;75;28193;102;76;28520;114;84;28520;62;33325;55;33362;32
5804695;5975375;386;27026;118;75;28193;102;75;28445;113;83;28445;61;31957;54;31995;32
5804696;5975375;382;26750;113;72;26815;80;60;27426;102;68;27426;61;32406;55;32444;31
5804697;5975375;381;26681;114;72;26853;80;59;27331;102;67;27331;60;32002;54;32039;31
5804698;5975375;389;27209;115;73;27451;88;67;27859;108;75;27859;61;32070;54;32107;31
5804699;5975375;376;26311;116;73;26538;102;79;27433;106;86;31466;61;28556;54;26817;31
5804700;5975375;375;26270;115;73;26406;102;79;27391;106;85;31425;60;28496;54;26757;30
5804701;5975375;379;26520;117;74;26889;102;82;27641;109;89;31675;61;28885;54;27146;31
5804702;5975375;380;26583;116;73;26540;102;83;27705;109;90;31738;61;28704;55;26965;31
5804703;5975375;382;26733;119;75;27191;109;85;27854;113;92;31888;62;28878;55;27139;31
5804704;5975375;384;26881;119;75;27191;109;87;28002;115;94;32036;62;29277;55;27538;31
5804705;5975375;380;26603;119;75;27191;116;102;27370;118;108;26536;62;28700;55;26961;31
5804706;5975375;379;26563;116;74;26949;116;101;27330;118;107;26497;61;28989;55;27250;31
5804707;5975375;383;26837;118;74;27223;119;105;27604;121;111;26771;62;29502;55;27763;32
5806593;5975375;380;26568;111;71;26634;73;58;25588;86;64;25966;54;26551;48;26589;27
5806594;5975375;374;26198;109;69;26227;76;53;25219;89;69;26325;53;26204;47;26242;26
5806595;5975375;374;26165;108;68;26125;78;53;25185;92;73;26613;52;26086;47;26124;26
5806596;5975375;376;26349;114;72;26526;82;60;25694;92;78;25495;51;25813;46;25850;25
5806597;5975375;382;26724;116;74;26616;92;65;26069;97;83;25870;55;26722;49;26760;28
5806598;5975375;386;27035;114;72;26583;102;62;26379;102;88;26180;54;26954;48;26992;27
5806599;5975375;385;26936;114;72;26886;102;74;28356;113;82;28356;62;33075;55;33113;31
5806600;5975375;382;26709;114;72;26886;95;70;28128;108;78;28128;61;32932;55;32970;31
5806601;5975375;379;26510;113;72;26815;82;62;27539;102;70;27539;61;32327;54;32365;31
5806602;5975375;383;26792;114;72;27049;80;61;27468;102;69;27468;61;32140;54;32178;31
5806603;5975375;385;26940;114;72;27093;88;63;27616;102;71;27616;61;28502;55;26763;31
5806604;5975375;376;26307;115;73;26258;102;79;27428;106;86;31462;60;28439;53;26700;30
5806605;5975375;371;25994;115;73;26258;102;75;27115;104;81;31149;60;28301;54;26563;30
5806606;5975375;374;26181;116;73;26531;102;77;27302;106;84;31336;60;28362;54;26623;30
5806607;5975375;377;26364;116;73;26537;102;80;27485;108;87;31519;61;28724;54;26986;30
5806608;5975375;381;26684;117;74;26756;107;85;27806;113;91;31839;61;29069;54;27330;30
5806609;5975375;386;27004;119;75;27191;111;89;28126;115;96;32160;62;29250;55;27511;31
5806610;5975375;375;26248;114;72;26300;110;97;27014;113;102;26181;60;28437;54;26698;31
5806611;5975375;377;26407;114;72;26300;115;99;27174;116;105;26341;60;28842;54;27103;31
5806612;5975375;381;26654;116;73;26514;118;108;26587;118;108;26587;61;28992;55;27253;31
5806613;5975375;404;28270;121;77;28248;144;127;46047;136;128;34976;64;30291;57;28552;33
5808496;5975375;380;26625;111;70;26629;73;62;25618;74;57;25618;54;26481;49;26519;28
5808497;5975375;384;26895;112;71;26940;79;63;25916;87;69;26318;55;26930;49;26967;28
5808498;5975375;383;26791;113;71;26810;80;62;25812;89;70;26440;54;26720;49;26757;27
5808499;5975375;371;25950;108;68;26088;78;54;25294;92;72;25095;52;25944;47;25982;26
5808500;5975375;375;26240;122;77;26877;82;58;25585;92;76;25386;54;25518;48;25555;27
5808501;5975375;387;27075;125;79;27032;106;62;26420;102;88;26221;55;27032;49;27069;28
5808502;5975375;387;27087;114;72;26583;106;62;26432;102;88;26233;54;27230;49;27267;28
5808503;5975375;386;27034;112;71;26487;102;75;28454;113;83;28454;54;33204;49;33241;28
5808504;5975375;382;26722;114;72;26886;95;71;28142;108;79;28142;61;32824;55;32861;31
5808505;5975375;376;26343;113;71;26535;88;65;27762;102;73;27762;61;32503;54;32540;30
5808506;5975375;375;26257;112;71;26466;88;65;27750;102;73;27750;61;28471;54;26732;30
5808507;5975375;372;26039;115;73;26312;102;73;26968;103;80;31046;61;28275;55;26536;31
5808508;5975375;369;25854;113;72;26024;90;70;26783;103;77;30861;60;27976;53;26238;30
5808509;5975375;369;25797;113;71;25918;95;72;26918;103;79;30952;60;28052;53;26313;30
5808510;5975375;373;26098;113;72;26028;102;76;27220;104;83;31254;61;28541;54;26802;30
5808511;5975375;371;25978;117;74;26756;102;74;27099;104;81;31133;61;28942;54;27203;30
5808512;5975375;375;26221;117;74;26756;110;96;26988;113;102;26154;61;29128;54;27389;30
5808513;5975375;372;26020;112;71;26025;108;94;26787;112;99;25954;60;27926;54;26187;31
5808514;5975375;370;25935;114;72;26300;108;92;26702;110;98;25868;60;28187;54;26448;31
5808515;5975375;375;26226;116;73;26514;110;97;26993;113;102;26160;61;28451;54;26712;31
5808516;5975375;378;26464;121;76;27060;116;100;27230;116;106;26397;61;28910;55;27171;31
5808517;5975375;384;26875;121;76;27060;117;103;26883;118;105;26883;61;29095;55;27356;31
5808518;5975375;389;27260;121;76;27060;118;108;27268;122;108;27268;64;30570;57;28831;33
5810399;5975375;377;26361;110;70;26327;75;58;25354;65;53;25354;53;26085;47;26123;26
5810400;5975375;379;26539;111;70;26457;77;60;25532;73;55;25532;55;26512;49;26550;28
5810401;5975375;387;27083;113;71;27018;80;66;26104;92;71;26507;55;27066;49;27103;28
5810402;5975375;366;25629;113;71;27018;75;56;25437;87;67;24774;55;25591;49;25628;28
5810403;5975375;367;25700;110;70;26046;75;56;25450;87;69;24846;51;25918;46;25956;25
5810404;5975375;376;26346;125;79;27032;82;60;25691;92;78;25492;52;25524;47;25562;26
5810405;5975375;388;27132;125;79;27032;106;63;26477;106;89;26278;54;27184;49;27222;28
5810406;5975375;389;27237;112;71;26487;106;65;26582;106;90;26383;55;27279;49;27316;28
5810407;5975375;391;27402;111;70;26304;106;67;26747;112;93;26548;61;28947;54;27208;30
5810408;5975375;381;26657;114;72;26480;90;70;28077;108;78;28077;61;28613;54;26874;30
5810409;5975375;372;26046;112;71;26341;82;62;26722;102;70;26722;60;28237;54;26498;30
5810410;5975375;369;25856;111;70;26054;80;59;26532;102;67;26532;60;28059;53;26320;30
5810411;5975375;373;26110;111;70;26074;102;74;27039;104;81;31117;60;28223;53;26484;30
5810412;5975375;365;25561;113;71;25951;88;66;26490;100;74;26490;60;27919;53;26180;30
5810413;5975375;363;25404;110;70;25522;88;66;26525;99;73;30559;60;27706;53;25967;30
5810414;5975375;365;25575;112;71;25839;88;69;26696;101;75;30730;60;27969;53;26230;30
5810415;5975375;371;25982;112;71;25839;102;74;27104;104;81;31138;60;28285;54;26546;30
5810416;5975375;367;25665;117;74;26756;105;89;26432;108;94;25598;60;27714;53;25975;30
5810417;5975375;366;25633;112;71;26025;105;88;26400;106;94;25566;60;27793;53;26054;30
5810418;5975375;370;25891;112;71;26025;108;92;26658;110;97;25824;60;28223;54;26484;31
5810419;5975375;378;26425;114;72;26475;115;99;27192;116;105;26359;61;28575;54;26836;31
5810420;5975375;381;26647;121;76;27060;117;104;26986;118;106;26986;61;28978;55;27239;31
5810421;5975375;384;26862;121;76;27060;117;103;26871;118;105;26871;61;29085;55;27346;31
5810422;5975375;387;27104;121;76;27060;118;106;27113;121;108;27113;61;30405;56;28666;33
5810423;5975375;404;28251;128;81;28009;139;120;45571;134;121;34500;61;29785;56;29785;33
5810457;5975375;385;26971;111;70;26698;79;65;27736;77;60;27736;53;29427;46;29466;27
5810458;5975375;381;26687;115;73;26693;77;64;27600;77;59;27600;53;29982;46;30021;27
5810462;5975375;378;26437;119;76;26724;66;58;27392;67;59;33308;56;31408;49;31447;29
5810463;5975375;378;26431;119;75;26648;60;54;27169;61;57;32805;56;31480;49;31519;29
5810464;5975375;378;26472;119;75;26680;59;55;32611;61;53;27114;56;31889;49;31928;30
5812300;5975375;370;25927;108;69;25928;71;52;24920;60;47;24920;53;25693;47;25731;26
5812301;5975375;374;26158;109;69;26132;73;55;25152;65;50;25152;53;26170;47;26208;26
5812302;5975375;378;26464;110;70;26273;77;59;25458;69;54;25458;53;26597;47;26635;26
5812303;5975375;366;25641;113;71;27018;79;64;26009;87;68;24786;51;27131;46;27168;25
5812304;5975375;363;25387;110;70;26046;77;61;25762;86;64;24533;51;25361;46;25399;25
5812305;5975375;363;25438;110;70;26046;77;62;25820;86;65;24584;50;24930;45;24967;25
5812306;5975375;365;25551;110;69;25825;77;65;24587;87;66;24696;53;25787;47;25825;26
5812307;5975375;367;25689;109;69;25722;83;72;24852;87;68;24835;53;25666;47;25703;26
5812308;5975375;372;26010;109;69;25950;97;90;26065;97;86;26048;55;26882;50;26919;28
5812309;5975375;372;26023;111;70;26304;99;77;25951;102;86;26060;61;28880;54;27141;30
5812310;5975375;375;26220;114;72;26565;104;80;26148;102;89;26257;61;28687;54;26948;30
5812311;5975375;371;25992;114;72;26541;82;61;26668;102;69;26668;60;28241;53;26502;30
5812312;5975375;367;25693;111;70;25941;80;58;26424;101;66;26424;59;27989;53;26250;30
5812313;5975375;365;25521;110;70;25730;80;61;26639;100;69;26639;59;27699;53;25960;30
5812314;5975375;364;25449;110;70;25703;82;62;26196;96;70;26196;59;27716;53;25977;30
5812315;5975375;359;25145;110;69;25366;85;64;26380;94;71;30414;59;27413;52;25674;29
5812316;5975375;362;25347;111;70;25583;88;67;26072;97;75;30706;59;27783;53;26044;30
5812317;5975375;366;25592;111;70;25583;95;70;26318;101;79;30952;59;28191;53;26452;30
5812318;5975375;365;25529;111;70;25583;105;87;26296;105;92;25462;59;27572;53;25833;30
5812319;5975375;363;25382;112;71;26025;100;84;26149;103;90;25316;59;27802;53;26064;30
5812320;5975375;375;26224;114;72;26475;110;96;26991;113;102;26158;61;28292;54;26553;31
5812321;5975375;375;26247;114;72;26475;110;97;27013;113;102;26180;61;28660;55;26921;31
5812322;5975375;378;26448;114;72;26475;112;95;26340;111;97;26340;61;29087;55;27348;31
5812323;5975375;381;26704;121;76;27060;114;99;26597;114;101;26597;61;28433;55;26694;31
5812324;5975375;388;27182;131;83;27763;118;107;27190;121;109;27190;61;29974;56;29974;33
5812325;5975375;403;28212;131;83;27763;139;121;46456;134;119;33568;61;29792;56;29792;33
5812353;5975375;363;25440;106;67;25276;66;52;25064;72;53;25162;50;27951;44;27990;26
5812354;5975375;366;25646;107;68;25574;68;55;25270;75;56;25368;51;28170;44;28209;26
5812355;5975375;374;26197;109;69;26152;72;64;25846;78;65;25944;52;28308;45;28347;26
5812356;5975375;373;26079;109;69;26149;70;61;25706;77;62;25804;52;28729;45;28768;26
5812358;5975375;389;27232;110;70;26426;87;79;28132;91;74;28673;52;29409;45;29448;26
5812359;5975375;386;27031;117;74;26432;84;76;36868;84;71;28471;54;29438;47;29477;28
5812360;5975375;381;26695;116;74;26483;81;71;27595;82;66;28136;54;30388;47;30427;28
5812361;5975375;379;26557;117;74;26713;78;67;27286;76;64;27998;54;30360;47;30399;28
5812362;5975375;376;26344;116;74;26382;72;62;26741;73;57;26741;54;30965;47;31004;28
5812363;5975375;375;26231;117;74;26371;68;58;35639;73;55;26628;55;30894;48;30933;29
5812364;5975375;374;26198;118;75;26356;65;53;26678;65;54;26678;55;31137;48;31176;29
5812365;5975375;376;26294;118;75;26361;65;55;26785;65;57;33183;56;31605;49;31644;29
5812366;5975375;374;26197;118;75;26483;60;52;34017;64;59;27404;57;32285;50;32324;30
5814173;5975375;437;30561;131;83;31007;102;80;30534;118;83;30534;71;36909;61;36935;37
5814174;5975375;446;31240;134;85;31628;106;89;31213;124;92;31213;71;37549;61;37575;38
5814175;5975375;448;31331;134;85;31628;106;91;31304;124;94;31304;71;36051;62;36077;38
5814176;5975375;417;29178;120;76;29666;135;120;33374;148;123;33374;68;34436;59;34463;36
5814201;5975375;368;25740;108;68;25787;69;49;24734;60;44;24734;52;25713;47;25750;26
5814202;5975375;371;25990;108;69;25970;71;52;24984;60;47;24984;53;25374;47;25411;26
5814203;5975375;378;26482;106;67;25361;77;59;25476;69;54;25476;52;26307;46;26344;26
5814204;5975375;363;25432;106;67;25361;77;64;24468;86;65;24577;52;25394;46;25432;26
5814205;5975375;359;25162;105;66;24987;73;60;24199;86;61;24308;51;25028;46;25065;25
5814206;5975375;359;25160;110;70;25928;73;60;24196;86;61;24306;50;24783;45;24820;25
5814207;5975375;362;25307;109;69;25722;75;62;24343;86;63;24453;52;25420;46;25458;26
5814208;5975375;364;25470;107;68;25405;77;64;24506;86;65;24615;53;25557;47;25594;26
5814209;5975375;369;25863;109;69;25950;97;88;25917;97;84;25900;55;26709;49;26746;28
5814210;5975375;369;25800;109;69;25950;96;87;25854;97;83;25837;55;26701;49;26739;28
5814211;5975375;372;26016;114;72;26565;97;90;26071;97;86;26054;61;28930;54;27191;30
5814212;5975375;372;26073;111;70;26190;85;62;26749;102;70;26749;60;28401;54;26662;30
5814213;5975375;368;25727;111;70;26190;85;63;26777;101;71;26777;60;28321;54;26582;30
5814214;5975375;363;25375;109;69;25498;80;59;26055;96;67;26055;59;27570;52;25831;29
5814215;5975375;361;25237;109;69;25396;80;58;25917;94;66;25917;59;27609;52;25870;29
5814216;5975375;357;24976;110;69;25684;82;62;25702;93;71;25702;60;27287;53;25548;30
5814217;5975375;357;24998;111;70;25583;82;62;25724;93;71;25724;59;27242;53;25504;30
5814218;5975375;358;25065;111;70;25583;82;63;25790;96;72;25790;59;27878;53;26139;30
5814219;5975375;362;25324;108;68;24993;95;84;26091;101;89;25258;59;27482;53;25743;30
5814220;5975375;359;25141;108;68;24993;94;81;25907;99;87;25074;59;27562;53;25823;30
5814221;5975375;378;26490;114;72;26475;116;100;27257;117;106;26424;59;28641;53;26903;30
5814222;5975375;379;26510;114;72;26475;116;101;27277;118;106;26443;61;28831;55;27092;31
5814223;5975375;375;26229;123;78;26271;109;92;26122;108;94;26122;61;28354;55;26615;31
5814224;5975375;374;26183;123;78;26271;109;91;26075;107;93;26075;61;28443;55;26704;32
5814225;5975375;403;28207;122;77;26289;139;121;46451;134;119;33564;62;30023;56;30023;33
5814226;5975375;400;27973;131;83;27763;136;118;46217;133;116;33329;62;29849;56;29849;33
5814227;5975375;395;27658;131;83;27763;128;113;45902;127;112;33015;61;29714;56;29714;33
5814253;5975375;356;24926;104;66;24687;68;58;25431;77;59;25529;50;27999;44;28038;26
5814254;5975375;359;25119;106;67;25276;79;60;26624;81;59;26624;50;28213;44;28252;26
5814255;5975375;358;25065;107;68;25637;76;59;26570;75;58;26570;51;28388;44;28427;26
5814256;5975375;377;26359;109;69;26161;76;66;26007;83;67;26106;53;28790;46;28829;27
5814257;5975375;383;26805;113;71;26761;84;72;26431;91;73;26530;53;29273;46;29312;27
5814258;5975375;379;26507;111;70;26495;80;68;26133;83;69;26231;52;29115;46;29154;27
5814259;5975375;382;26727;112;71;26627;81;71;26354;91;72;26452;53;29385;46;29424;27
5814260;5975375;386;27007;117;74;26432;84;76;27907;83;71;28448;54;31811;47;31850;28
5814261;5975375;382;26752;117;74;26432;82;72;36590;81;67;28193;55;30582;48;30621;29
5814262;5975375;380;26612;117;74;26194;76;64;36024;75;60;27009;54;30456;47;30495;28
5814263;5975375;379;26500;117;74;26080;75;64;26897;74;59;26897;54;30715;48;30754;28
5814264;5975375;372;26071;118;75;26251;67;56;35496;71;57;26734;55;30772;48;30811;29
5814265;5975375;369;25807;117;74;26059;62;50;35206;67;54;26307;55;31009;48;31048;29
5814266;5975375;368;25776;116;73;25974;67;56;35476;74;59;26656;56;31469;49;31508;29
5814267;5975375;370;25883;116;73;26052;61;51;34166;68;61;34166;56;31464;48;30982;29
